ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2022-01-01,70.96344948,62.4363432364811,71.11437992212102,70.96344948,70.96344948,-4.122458075399083,-4.122458075399083,-4.122458075399083,-4.122458075399083,-4.122458075399083,-4.122458075399083,0.0,0.0,0.0,66.84099140460091
2022-02-01,70.8134065784,63.05821153088301,72.1189808508719,70.8134065784,70.8134065784,-3.09148057899208,-3.09148057899208,-3.09148057899208,-3.09148057899208,-3.09148057899208,-3.09148057899208,0.0,0.0,0.0,67.72192599940793
2022-03-01,70.67788395684171,64.88430832246137,73.96655211430311,70.67788395684171,70.67788395684171,-1.0247279240145664,-1.0247279240145664,-1.0247279240145664,-1.0247279240145664,-1.0247279240145664,-1.0247279240145664,0.0,0.0,0.0,69.65315603282714
2022-04-01,70.52784105615912,66.58733346472239,75.50485489023991,70.52784105615912,70.52784105615912,0.6157351355273647,0.6157351355273647,0.6157351355273647,0.6157351355273647,0.6157351355273647,0.6157351355273647,0.0,0.0,0.0,71.14357619168648
2022-05-01,70.3826382490469,66.38708225709411,75.30441172457091,70.3826382490469,70.3826382490469,0.35840716328130673,0.35840716328130673,0.35840716328130673,0.35840716328130673,0.35840716328130673,0.35840716328130673,0.0,0.0,0.0,70.74104541232822
2022-06-01,70.23259534737832,68.09266009592122,77.04520191857362,70.23259534737832,70.23259534737832,2.251728954804518,2.251728954804518,2.251728954804518,2.251728954804518,2.251728954804518,2.251728954804518,0.0,0.0,0.0,72.48432430218284
2022-07-01,70.08739253682953,67.12578611161256,75.85518301550641,70.08739253682953,70.08739253682953,1.1421218705625276,1.1421218705625276,1.1421218705625276,1.1421218705625276,1.1421218705625276,1.1421218705625276,0.0,0.0,0.0,71.22951440739206
2022-08-01,69.93734963401303,65.60320115897487,74.5662196864335,69.93734963401303,69.93734963401303,0.24284540947370323,0.24284540947370323,0.24284540947370323,0.24284540947370323,0.24284540947370323,0.24284540947370323,0.0,0.0,0.0,70.18019504348673
2022-09-01,69.7873067294083,65.98912076393651,74.603119004978,69.7873067294083,69.7873067294083,0.304558022335755,0.304558022335755,0.304558022335755,0.304558022335755,0.304558022335755,0.304558022335755,0.0,0.0,0.0,70.09186475174405
2022-10-01,69.64210391927242,63.1266945011794,71.81437533230951,69.64210391927242,69.64210391927242,-2.273675242834515,-2.273675242834515,-2.273675242834515,-2.273675242834515,-2.273675242834515,-2.273675242834515,0.0,0.0,0.0,67.3684286764379
2022-11-01,69.49206101546532,62.437798290572836,71.23769239478267,69.49206101546532,69.49206101546532,-2.801768238435298,-2.801768238435298,-2.801768238435298,-2.801768238435298,-2.801768238435298,-2.801768238435298,0.0,0.0,0.0,66.69029277703002
2022-12-01,69.34685820377075,60.61441055926305,69.20416985830818,69.34685820377075,69.34685820377075,-4.356095466040826,-4.356095466040826,-4.356095466040826,-4.356095466040826,-4.356095466040826,-4.356095466040826,0.0,0.0,0.0,64.99076273772992
2023-01-01,69.19681531285069,60.7983183536136,69.37139990502554,69.19681531285069,69.19681531285069,-4.171848415839366,-4.171848415839366,-4.171848415839366,-4.171848415839366,-4.171848415839366,-4.171848415839366,0.0,0.0,0.0,65.02496689701132
2023-02-01,69.04677243717836,62.78585722128152,71.59344518295526,69.04677243717836,69.04677243717836,-1.8551633091477266,-1.8551633091477266,-1.8551633091477266,-1.8551633091477266,-1.8551633091477266,-1.8551633091477266,0.0,0.0,0.0,67.19160912803063
2023-03-01,68.91151645615327,63.54779926727371,72.19383655327016,68.91151645615327,68.91151645615327,-1.0632014746447844,-1.0632014746447844,-1.0632014746447844,-1.0632014746447844,-1.0632014746447844,-1.0632014746447844,0.0,0.0,0.0,67.84831498150848
2023-04-01,68.76217988707366,64.93105944403472,73.33958121867522,68.76217988707366,68.76217988707366,0.4513812731732908,0.4513812731732908,0.4513812731732908,0.4513812731732908,0.4513812731732908,0.4513812731732908,0.0,0.0,0.0,69.21356116024695
2023-05-01,68.61766062667404,64.37897725826404,73.03310904927974,68.61766062667404,68.61766062667404,0.12076464112141594,0.12076464112141594,0.12076464112141594,0.12076464112141594,0.12076464112141594,0.12076464112141594,0.0,0.0,0.0,68.73842526779545
2023-06-01,68.46936191652571,66.41161996180013,75.17146100714481,68.46936191652571,68.46936191652571,2.39592204695689,2.39592204695689,2.39592204695689,2.39592204695689,2.39592204695689,2.39592204695689,0.0,0.0,0.0,70.8652839634826
2023-07-01,68.32650807546064,63.34831017498813,72.45949338719126,68.32650807546064,68.32650807546064,-0.36962731002296073,-0.36962731002296073,-0.36962731002296073,-0.36962731002296073,-0.36962731002296073,-0.36962731002296073,0.0,0.0,0.0,67.95688076543767
2023-08-01,68.1799544955563,64.85748317932662,73.4770514274969,68.1799544955563,68.1799544955563,1.0113677075793746,1.0113677075793746,1.0113677075793746,1.0113677075793746,1.0113677075793746,1.0113677075793746,0.0,0.0,0.0,69.19132220313568
2023-09-01,68.03340095186691,65.3531420605014,74.17726507769864,68.03340095186691,68.03340095186691,1.8336421087745645,1.8336421087745645,1.8336421087745645,1.8336421087745645,1.8336421087745645,1.8336421087745645,0.0,0.0,0.0,69.86704306064148
2023-10-01,67.89157494463889,61.1217156162934,70.00333220250397,67.89157494463889,67.89157494463889,-2.2365113272021593,-2.2365113272021593,-2.2365113272021593,-2.2365113272021593,-2.2365113272021593,-2.2365113272021593,0.0,0.0,0.0,65.65506361743672
2023-11-01,67.74502140383662,59.91628993615844,68.7789884175906,67.74502140383662,67.74502140383662,-3.4773721248049907,-3.4773721248049907,-3.4773721248049907,-3.4773721248049907,-3.4773721248049907,-3.4773721248049907,0.0,0.0,0.0,64.26764927903163
2023-12-01,67.60319539532499,57.65240582712371,66.57310535623556,67.60319539532499,67.60319539532499,-5.577837095724564,-5.577837095724564,-5.577837095724564,-5.577837095724564,-5.577837095724564,-5.577837095724564,0.0,0.0,0.0,62.02535829960043
2024-01-01,67.45664185337704,58.986675322851056,67.62709781694267,67.45664185337704,67.45664185337704,-4.179422958461272,-4.179422958461272,-4.179422958461272,-4.179422958461272,-4.179422958461272,-4.179422958461272,0.0,0.0,0.0,63.27721889491576
2024-02-01,67.3100883155251,62.388470379993436,70.96680621843784,67.3100883155251,67.3100883155251,-0.6074963677439843,-0.6074963677439843,-0.6074963677439843,-0.6074963677439843,-0.6074963677439843,-0.6074963677439843,0.0,0.0,0.0,66.70259194778112
2024-03-01,67.17298984690129,61.51465952668832,70.76857793837563,67.17298984690129,67.17298984690129,-1.0097345160760731,-1.0097345160760731,-1.0097345160760731,-1.0097345160760731,-1.0097345160760731,-1.0097345160760731,0.0,0.0,0.0,66.16325533082521
2024-04-01,67.02643631324685,63.29957449125573,72.0507414532868,67.02643631324685,67.02643631324685,0.9073517120687143,0.9073517120687143,0.9073517120687143,0.9073517120687143,0.9073517120687143,0.9073517120687143,0.0,0.0,0.0,67.93378802531556
2024-05-01,66.88461031293609,63.35711156013704,72.28098179239691,66.88461031293609,66.88461031293609,0.8231540816987621,0.8231540816987621,0.8231540816987621,0.8231540816987621,0.8231540816987621,0.8231540816987621,0.0,0.0,0.0,67.70776439463485
2024-06-01,66.73805678300992,64.31237841661566,73.21083443750743,66.73805678300992,66.73805678300992,1.9252966877963178,1.9252966877963178,1.9252966877963178,1.9252966877963178,1.9252966877963178,1.9252966877963178,0.0,0.0,0.0,68.66335347080624
2024-07-01,66.5962307836713,66.44034975739633,75.32462061670094,66.5962307836713,66.5962307836713,4.224957375288907,4.224957375288907,4.224957375288907,4.224957375288907,4.224957375288907,4.224957375288907,0.0,0.0,0.0,70.82118815896021
2024-08-01,66.44967725370914,60.684721424620186,69.74097963919267,66.44967725370914,66.44967725370914,-1.1593206230613955,-1.1593206230613955,-1.1593206230613955,-1.1593206230613955,-1.1593206230613955,-1.1593206230613955,0.0,0.0,0.0,65.29035663064775
2024-09-01,66.30312372374699,59.11238993597269,67.77549519373585,66.30312372374699,66.30312372374699,-2.7693742330545486,-2.7693742330545486,-2.7693742330545486,-2.7693742330545486,-2.7693742330545486,-2.7693742330545486,0.0,0.0,0.0,63.53374949069244
2024-10-01,66.16129772700943,59.30150611275128,68.05920039270066,66.16129772700943,66.16129772700943,-2.466095163837145,-2.466095163837145,-2.466095163837145,-2.466095163837145,-2.466095163837145,-2.466095163837145,0.0,0.0,0.0,63.69520256317228
2024-11-01,66.01474419704726,59.745658954763265,68.60949581097934,66.01474419704726,66.01474419704726,-1.5319232898910236,-1.5319232898910236,-1.5319232898910236,-1.5319232898910236,-1.5319232898910236,-1.5319232898910236,0.0,0.0,0.0,64.48282090715624
2024-12-01,65.8729182003097,59.676455557889994,68.59536408984133,65.8729182003097,65.8729182003097,-1.867795609231506,-1.867795609231506,-1.867795609231506,-1.867795609231506,-1.867795609231506,-1.867795609231506,0.0,0.0,0.0,64.00512259107819
