ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2022-01-01,10.2680746784,9.838689846477083,10.711007148518606,10.2680746784,10.2680746784,0.010702855198562143,0.010702855198562143,0.010702855198562143,0.010702855198562143,0.010702855198562143,0.010702855198562143,0.0,0.0,0.0,10.278777533598562
2022-02-01,10.36803703794479,9.93111680419619,10.783638641777884,10.36803703794479,10.36803703794479,-0.022422797533643124,-0.022422797533643124,-0.022422797533643124,-0.022422797533643124,-0.022422797533643124,-0.022422797533643124,0.0,0.0,0.0,10.345614240411146
2022-03-01,10.458325621060528,10.158392798890835,10.984431432643053,10.458325621060528,10.458325621060528,0.11543582373751088,0.11543582373751088,0.11543582373751088,0.11543582373751088,0.11543582373751088,0.11543582373751088,0.0,0.0,0.0,10.57376144479804
2022-04-01,10.558287978978225,10.096972000471009,10.917874297255764,10.558287978978225,10.558287978978225,-0.06763402138612036,-0.06763402138612036,-0.06763402138612036,-0.06763402138612036,-0.06763402138612036,-0.06763402138612036,0.0,0.0,0.0,10.490653957592105
2022-05-01,10.655025746743416,10.176683218050268,11.035507256320285,10.655025746743416,10.655025746743416,-0.033047359028341806,-0.033047359028341806,-0.033047359028341806,-0.033047359028341806,-0.033047359028341806,-0.033047359028341806,0.0,0.0,0.0,10.621978387715075
2022-06-01,10.754988106277468,10.137413633006416,10.95345338759254,10.754988106277468,10.754988106277468,-0.20191243981439191,-0.20191243981439191,-0.20191243981439191,-0.20191243981439191,-0.20191243981439191,-0.20191243981439191,0.0,0.0,0.0,10.553075666463076
2022-07-01,10.851725871443406,10.087385366093592,10.905004482223992,10.851725871443406,10.851725871443406,-0.35418525283510005,-0.35418525283510005,-0.35418525283510005,-0.35418525283510005,-0.35418525283510005,-0.35418525283510005,0.0,0.0,0.0,10.497540618608307
2022-08-01,10.95168822738228,9.915379122249071,10.736615960923915,10.95168822738228,10.95168822738228,-0.6070425063720666,-0.6070425063720666,-0.6070425063720666,-0.6070425063720666,-0.6070425063720666,-0.6070425063720666,0.0,0.0,0.0,10.344645721010215
2022-09-01,11.051650583321154,10.383380595423759,11.267727548473697,11.051650583321154,11.051650583321154,-0.23801191150950052,-0.23801191150950052,-0.23801191150950052,-0.23801191150950052,-0.23801191150950052,-0.23801191150950052,0.0,0.0,0.0,10.813638671811653
2022-10-01,11.148388349047428,10.529039332073879,11.38900996073207,11.148388349047428,11.148388349047428,-0.17508266831455185,-0.17508266831455185,-0.17508266831455185,-0.17508266831455185,-0.17508266831455185,-0.17508266831455185,0.0,0.0,0.0,10.973305680732876
